,Unnamed: 0,label,judul_clean,narasi_clean,stem_narasi,stem_judul,freq_tokens
2963,2963,1,postingan pn kementerian agama menyebut korban bom surabaya istilah ekor,ekor yang mati sudah kalang kabut bgamna dengan ribuan sodara yang dibunuh suryapalestinarohingnyaafganistaniraqposoambondl hadeeeeehhh begitu saja kok panik,"['ekor', 'yang', 'mati', 'sudah', 'kalang', 'kabut', 'bgamna', 'dengan', 'ribuan', 'sodara', 'yang', 'dibunuh', 'suryapalestinarohingnyaafganistaniraqposoambondl', 'hadeeeeehhh', 'begitu', 'saja', 'kok', 'panik']","['postingan', 'pn', 'kementerian', 'agama', 'menyebut', 'korban', 'bom', 'surabaya', 'istilah', 'ekor']",<FreqDist with 17 samples and 18 outcomes>
2964,2964,1,video lumpur bekasi lumpur lapindo,kejadian aneh daerah bekasi semburan tanah lumpur coklat semburan lapindo,"['kejadian', 'aneh', 'daerah', 'bekasi', 'semburan', 'tanah', 'lumpur', 'coklat', 'semburan', 'lapindo']","['video', 'lumpur', 'bekasi', 'lumpur', 'lapindo']",<FreqDist with 9 samples and 10 outcomes>
2965,2965,0,polr banjarbaru bantah pemeriksaan pengamanan pedagang pentol berbahan dage kuce,hoax mengamankan pemeriksaan diharapkan masyarakat banjarbaru bijak menyikapi kabar cek ricek faktanya bijaklah media sosial anti hoak,"['hoax', 'mengamankan', 'pemeriksaan', 'diharapkan', 'masyarakat', 'banjarbaru', 'bijak', 'menyikapi', 'kabar', 'cek', 'ricek', 'faktanya', 'bijaklah', 'media', 'sosial', 'anti', 'hoak']","['polr', 'banjarbaru', 'bantah', 'pemeriksaan', 'pengamanan', 'pedagang', 'pentol', 'berbahan', 'dage', 'kuce']",<FreqDist with 17 samples and 17 outcomes>
2966,2966,1,poll membangun kuil masjid tapak masjid babri diruntuhkan poll tapi build templ orang mosqu over demolish babri mosqu,fake up govt websit run opinion poll on ram templ,"['fake', 'up', 'govt', 'websit', 'run', 'opinion', 'poll', 'on', 'ram', 'templ']","['poll', 'membangun', 'kuil', 'masjid', 'tapak', 'masjid', 'babri', 'diruntuhkan', 'poll', 'tapi', 'build', 'templ', 'orang', 'mosqu', 'over', 'demolish', 'babri', 'mosqu']",<FreqDist with 10 samples and 10 outcomes>
2967,2967,1,teman ahok bunuh ahox kalah pilkada,teman ahok bunuh ahok kalah pilkada,"['teman', 'ahok', 'bunuh', 'ahok', 'kalah', 'pilkada']","['teman', 'ahok', 'bunuh', 'ahox', 'kalah', 'pilkada']",<FreqDist with 5 samples and 6 outcomes>
2968,2968,0,hoax memuji jokowi dibiarkan terkait pemberitaan jokowi pemimpin terbaik media bloomberg,hoax memuji jokowi dibiarkan terkait pemberitaan jokowi pemimpin terbaik media bloomberg,"['hoax', 'memuji', 'jokowi', 'dibiarkan', 'terkait', 'pemberitaan', 'jokowi', 'pemimpin', 'terbaik', 'media', 'bloomberg']","['hoax', 'memuji', 'jokowi', 'dibiarkan', 'terkait', 'pemberitaan', 'jokowi', 'pemimpin', 'terbaik', 'media', 'bloomberg']",<FreqDist with 10 samples and 11 outcomes>
2969,2969,1,jutaan burung kerumuni pantai dubai,bismillah jutaan burung tibatiba berkumpul memenuhi pantai dubai uni emir arab bbrapa hewanhewan habitatnya bahaya harimau monyet kijang penghuni hutan gunung gunung meletu burung laut,"['bismillah', 'jutaan', 'burung', 'tibatiba', 'berkumpul', 'memenuhi', 'pantai', 'dubai', 'uni', 'emir', 'arab', 'bbrapa', 'hewanhewan', 'habitatnya', 'bahaya', 'harimau', 'monyet', 'kijang', 'penghuni', 'hutan', 'gunung', 'gunung', 'meletu', 'burung', 'laut']","['jutaan', 'burung', 'kerumuni', 'pantai', 'dubai']",<FreqDist with 23 samples and 25 outcomes>
2970,2970,1,logo hut kemerdekaan ri mengandung simbol tanda salib,tim kreator logo hut ri cebong kristu uang negara diembat makna hut ri dikacaukan dengan logo salib,"['tim', 'kreator', 'logo', 'hut', 'ri', 'cebong', 'kristu', 'uang', 'negara', 'diembat', 'makna', 'hut', 'ri', 'dikacaukan', 'dengan', 'logo', 'salib']","['logo', 'hut', 'kemerdekaan', 'ri', 'mengandung', 'simbol', 'tanda', 'salib']",<FreqDist with 14 samples and 17 outcomes>
2971,2971,1,putri vladimir putin meningg dosi vaksin covid,vladimir putin daughter suffer unexpect side effect tapi the experiment russian covid vaccin and ha pass away ini moscow the kremlin ha yet tapi memakai statement on her death sourc within russia inner circl state that putin daughter katerina tikhonova suffer rise ini temperatur shortli after her second inject and then suffer seizur doctor were not abl tapi revers the sideeffect of the vaccin and she wa pronounc dead late yesterday even,"['vladimir', 'putin', 'daughter', 'suffer', 'unexpect', 'side', 'effect', 'tapi', 'the', 'experiment', 'russian', 'covid', 'vaccin', 'and', 'ha', 'pass', 'away', 'ini', 'moscow', 'the', 'kremlin', 'ha', 'yet', 'tapi', 'memakai', 'statement', 'on', 'her', 'death', 'sourc', 'within', 'russia', 'inner', 'circl', 'state', 'that', 'putin', 'daughter', 'katerina', 'tikhonova', 'suffer', 'rise', 'ini', 'temperatur', 'shortli', 'after', 'her', 'second', 'inject', 'and', 'then', 'suffer', 'seizur', 'doctor', 'were', 'not', 'abl', 'tapi', 'revers', 'the', 'sideeffect', 'of', 'the', 'vaccin', 'and', 'she', 'wa', 'pronounc', 'dead', 'late', 'yesterday', 'even']","['putri', 'vladimir', 'putin', 'meningg', 'dosi', 'vaksin', 'covid']",<FreqDist with 57 samples and 72 outcomes>
2972,2972,1,foto tik tok sih empunya pki,tik tok sih empunya pki sadari yang tik tokan menyumbang dana anak cucu pki naudzubillah,"['tik', 'tok', 'sih', 'empunya', 'pki', 'sadari', 'yang', 'tik', 'tokan', 'menyumbang', 'dana', 'anak', 'cucu', 'pki', 'naudzubillah']","['foto', 'tik', 'tok', 'sih', 'empunya', 'pki']",<FreqDist with 13 samples and 15 outcomes>
2973,2973,1,cure rate for covid and vaccin with advers effect rate,cure rate for covid and vaccin with advers effect rate,"['cure', 'rate', 'for', 'covid', 'and', 'vaccin', 'with', 'advers', 'effect', 'rate']","['cure', 'rate', 'for', 'covid', 'and', 'vaccin', 'with', 'advers', 'effect', 'rate']",<FreqDist with 9 samples and 10 outcomes>
2974,2974,0,mafindo jombang the fact talk sakit takut layanan kesehatan takut kena covid,simak,['simak'],"['mafindo', 'jombang', 'the', 'fact', 'talk', 'sakit', 'takut', 'layanan', 'kesehatan', 'takut', 'kena', 'covid']",<FreqDist with 1 samples and 1 outcomes>
2975,2975,1,menikah istri ceraikan suami garagara dukung jokowi,menikah istri ceraikan suami garagara dukung jokowi,"['menikah', 'istri', 'ceraikan', 'suami', 'garagara', 'dukung', 'jokowi']","['menikah', 'istri', 'ceraikan', 'suami', 'garagara', 'dukung', 'jokowi']",<FreqDist with 7 samples and 7 outcomes>
2976,2976,1,two sun call hunter moon,the miracl ha happen yesterday usah and canada saw two sun thi is call as hunter moon due tapi chang of orbit the sun set and moon rise at the ame time with both be opposit tapi each other at particular angl orang degre moon reflect the sun sok bright that itu almost feel like anoth sun effect stay for coupl of day,"['the', 'miracl', 'ha', 'happen', 'yesterday', 'usah', 'and', 'canada', 'saw', 'two', 'sun', 'thi', 'is', 'call', 'as', 'hunter', 'moon', 'due', 'tapi', 'chang', 'of', 'orbit', 'the', 'sun', 'set', 'and', 'moon', 'rise', 'at', 'the', 'ame', 'time', 'with', 'both', 'be', 'opposit', 'tapi', 'each', 'other', 'at', 'particular', 'angl', 'orang', 'degre', 'moon', 'reflect', 'the', 'sun', 'sok', 'bright', 'that', 'itu', 'almost', 'feel', 'like', 'anoth', 'sun', 'effect', 'stay', 'for', 'coupl', 'of', 'day']","['two', 'sun', 'call', 'hunter', 'moon']",<FreqDist with 51 samples and 63 outcomes>
2977,2977,1,tidur sehabi menangi cuci muka sebabkan mata bintitan,guy menangi langsung tidur cuci muka menangi sampai bengkak teru langsung tidur besok pagi nya mataku kayak muncul bentolan think ah bintitan aku beli salep bintitan enggak kemp final dokter mata langsung dibilang operasi dioperasi kelopak isinya nanah bakteri menyebar,"['guy', 'menangi', 'langsung', 'tidur', 'cuci', 'muka', 'menangi', 'sampai', 'bengkak', 'teru', 'langsung', 'tidur', 'besok', 'pagi', 'nya', 'mataku', 'kayak', 'muncul', 'bentolan', 'think', 'ah', 'bintitan', 'aku', 'beli', 'salep', 'bintitan', 'enggak', 'kemp', 'final', 'dokter', 'mata', 'langsung', 'dibilang', 'operasi', 'dioperasi', 'kelopak', 'isinya', 'nanah', 'bakteri', 'menyebar']","['tidur', 'sehabi', 'menangi', 'cuci', 'muka', 'sebabkan', 'mata', 'bintitan']",<FreqDist with 35 samples and 40 outcomes>
2978,2978,1,foto nyonya klan cendana mengaw aksi demo nenolak ruu hip,episod donatur enggak rugi nyonya klan cendana tertangkap kamera mengaw aksi demo nenolak ruu hip,"['episod', 'donatur', 'enggak', 'rugi', 'nyonya', 'klan', 'cendana', 'tertangkap', 'kamera', 'mengaw', 'aksi', 'demo', 'nenolak', 'ruu', 'hip']","['foto', 'nyonya', 'klan', 'cendana', 'mengaw', 'aksi', 'demo', 'nenolak', 'ruu', 'hip']",<FreqDist with 15 samples and 15 outcomes>
2979,2979,1,video tanah abang penuh bray,tanah abang penuh bray anehnya gaben dengan ponggahnya daerah belajar penanganan covid jabodetabek yang benar saja mosok gaben ditiru,"['tanah', 'abang', 'penuh', 'bray', 'anehnya', 'gaben', 'dengan', 'ponggahnya', 'daerah', 'belajar', 'penanganan', 'covid', 'jabodetabek', 'yang', 'benar', 'saja', 'mosok', 'gaben', 'ditiru']","['video', 'tanah', 'abang', 'penuh', 'bray']",<FreqDist with 18 samples and 19 outcomes>
2980,2980,1,foto satusatunya orang diizinkan duduk kabah tukang bersihbersih,satusatunya orang diizinkan duduk kabah tukang bersihbersih raja menteri pangeran ulama allah memilih diband uang kekayaan statu pangkat keluarga apaapanya hadapan allah singkirkanlah bangga perlakukan beruntung hormat menghargai buanglah jauhjauh kesombongan belajar rendah hati,"['satusatunya', 'orang', 'diizinkan', 'duduk', 'kabah', 'tukang', 'bersihbersih', 'raja', 'menteri', 'pangeran', 'ulama', 'allah', 'memilih', 'diband', 'uang', 'kekayaan', 'statu', 'pangkat', 'keluarga', 'apaapanya', 'hadapan', 'allah', 'singkirkanlah', 'bangga', 'perlakukan', 'beruntung', 'hormat', 'menghargai', 'buanglah', 'jauhjauh', 'kesombongan', 'belajar', 'rendah', 'hati']","['foto', 'satusatunya', 'orang', 'diizinkan', 'duduk', 'kabah', 'tukang', 'bersihbersih']",<FreqDist with 33 samples and 34 outcomes>
2981,2981,1,itali arrest doctor for intent kill over coronaviru patient,an italian doctor at the center of the countri fight against coronaviru ha been charg with murder after author found out that he is respons for over coronavirusrel death,"['an', 'italian', 'doctor', 'at', 'the', 'center', 'of', 'the', 'countri', 'fight', 'against', 'coronaviru', 'ha', 'been', 'charg', 'with', 'murder', 'after', 'author', 'found', 'out', 'that', 'he', 'is', 'respons', 'for', 'over', 'coronavirusrel', 'death']","['itali', 'arrest', 'doctor', 'for', 'intent', 'kill', 'over', 'coronaviru', 'patient']",<FreqDist with 28 samples and 29 outcomes>
2982,2982,1,pelintiran kontek foto tri rismaharini,hai syantiqu sekedar saran disinfeksinya pakai mobil saja tongkat perinya disimpen marah ya jaga kesehatan capek,"['hai', 'syantiqu', 'sekedar', 'saran', 'disinfeksinya', 'pakai', 'mobil', 'saja', 'tongkat', 'perinya', 'disimpen', 'marah', 'ya', 'jaga', 'kesehatan', 'capek']","['pelintiran', 'kontek', 'foto', 'tri', 'rismaharini']",<FreqDist with 16 samples and 16 outcomes>
2983,2983,1,video pgc evakuasi pasien covid,ya allah pgc evakuasi pasien covid dekat banget jarak rumah wa wa pergi kemana nya,"['ya', 'allah', 'pgc', 'evakuasi', 'pasien', 'covid', 'dekat', 'banget', 'jarak', 'rumah', 'wa', 'wa', 'pergi', 'kemana', 'nya']","['video', 'pgc', 'evakuasi', 'pasien', 'covid']",<FreqDist with 14 samples and 15 outcomes>
2984,2984,1,sertifikasi halal hapu ruu sapu jagat,penolakan ruu sapu jagat jokowi sertifikasi halal hapu ruu sapu jagat sedangkan indonesia mayorita islam umat islam jangan diam negara intoleran kepada kepentingan umat islam ri neg komuni,"['penolakan', 'ruu', 'sapu', 'jagat', 'jokowi', 'sertifikasi', 'halal', 'hapu', 'ruu', 'sapu', 'jagat', 'sedangkan', 'indonesia', 'mayorita', 'islam', 'umat', 'islam', 'jangan', 'diam', 'negara', 'intoleran', 'kepada', 'kepentingan', 'umat', 'islam', 'ri', 'neg', 'komuni']","['sertifikasi', 'halal', 'hapu', 'ruu', 'sapu', 'jagat']",<FreqDist with 22 samples and 28 outcomes>
2985,2985,1,ditemukan mayat anak sdn pademangan barat kemayoran,ditemukan mayat anak sdn pademangan barat kela kemayoran dengan kondisi mengenaskan anggota organ tubuh dalamnya diambil dijual pelaku rekan guru waspada anak anak didiknya,"['ditemukan', 'mayat', 'anak', 'sdn', 'pademangan', 'barat', 'kela', 'kemayoran', 'dengan', 'kondisi', 'mengenaskan', 'anggota', 'organ', 'tubuh', 'dalamnya', 'diambil', 'dijual', 'pelaku', 'rekan', 'guru', 'waspada', 'anak', 'anak', 'didiknya']","['ditemukan', 'mayat', 'anak', 'sdn', 'pademangan', 'barat', 'kemayoran']",<FreqDist with 22 samples and 24 outcomes>
2986,2986,1,lingkaran merah tabung ga elpiji kg penanda kebocoran,fungsi lingkaran merah tabung gasmungkin lingkaran merah tabung lpg variasi warna desain warna tabung dugaan salah lingkaran merah memiliki fungsi pengguna lpg lingkaran merah berfungsi rambu rambu menandakan ledakan kerjanya simak penjelasan,"['fungsi', 'lingkaran', 'merah', 'tabung', 'gasmungkin', 'lingkaran', 'merah', 'tabung', 'lpg', 'variasi', 'warna', 'desain', 'warna', 'tabung', 'dugaan', 'salah', 'lingkaran', 'merah', 'memiliki', 'fungsi', 'pengguna', 'lpg', 'lingkaran', 'merah', 'berfungsi', 'rambu', 'rambu', 'menandakan', 'ledakan', 'kerjanya', 'simak', 'penjelasan']","['lingkaran', 'merah', 'tabung', 'ga', 'elpiji', 'kg', 'penanda', 'kebocoran']",<FreqDist with 20 samples and 32 outcomes>
2987,2987,1,telapak tangan pendemo melepuh akibat ga air mata,telapak tangan salah pendemo melepuh akibat memegang gelembung ga air mataberacun lemparkan arah polisi yang menembakannya,"['telapak', 'tangan', 'salah', 'pendemo', 'melepuh', 'akibat', 'memegang', 'gelembung', 'ga', 'air', 'mataberacun', 'lemparkan', 'arah', 'polisi', 'yang', 'menembakannya']","['telapak', 'tangan', 'pendemo', 'melepuh', 'akibat', 'ga', 'air', 'mata']",<FreqDist with 16 samples and 16 outcomes>
2988,2988,1,bem unindra bantah menerima dana mengikuti aksi unjuk gedung dpr,menuntut hukum mediamedia mempublikasikan berita hoak,"['menuntut', 'hukum', 'mediamedia', 'mempublikasikan', 'berita', 'hoak']","['bem', 'unindra', 'bantah', 'menerima', 'dana', 'mengikuti', 'aksi', 'unjuk', 'gedung', 'dpr']",<FreqDist with 6 samples and 6 outcomes>
2989,2989,1,demonstrasi mahasiswa diliput televisi dikuasai pki,tau enggak demo mahasiswa ditayang ditivi karena televisi indonesia dikuasai china komuni pki,"['tau', 'enggak', 'demo', 'mahasiswa', 'ditayang', 'ditivi', 'karena', 'televisi', 'indonesia', 'dikuasai', 'china', 'komuni', 'pki']","['demonstrasi', 'mahasiswa', 'diliput', 'televisi', 'dikuasai', 'pki']",<FreqDist with 13 samples and 13 outcomes>
2990,2990,1,foto banser papua,alhamdulillahmenjawab tuntutan banser papua pesan moral gambar mati kenyang,"['alhamdulillahmenjawab', 'tuntutan', 'banser', 'papua', 'pesan', 'moral', 'gambar', 'mati', 'kenyang']","['foto', 'banser', 'papua']",<FreqDist with 9 samples and 9 outcomes>
2991,2991,1,muncul isu waduk jatiged jebol kapolsek bbw menyatakan,kapolsek jatiged akp dadang rostia berdasarkan informasi lapangan yayat irin karyawan sinohydro sumber air diduga rembesan bendungan jatiged alia bohong,"['kapolsek', 'jatiged', 'akp', 'dadang', 'rostia', 'berdasarkan', 'informasi', 'lapangan', 'yayat', 'irin', 'karyawan', 'sinohydro', 'sumber', 'air', 'diduga', 'rembesan', 'bendungan', 'jatiged', 'alia', 'bohong']","['muncul', 'isu', 'waduk', 'jatiged', 'jebol', 'kapolsek', 'bbw', 'menyatakan']",<FreqDist with 19 samples and 20 outcomes>
2992,2992,1,jelmaan babi,tolong sebarkan photo iniorg sudah menghina nabi semuayang islam bilang aminsupaya azab swtaminn orang bego menghina nabi muhammad saw,"['tolong', 'sebarkan', 'photo', 'iniorg', 'sudah', 'menghina', 'nabi', 'semuayang', 'islam', 'bilang', 'aminsupaya', 'azab', 'swtaminn', 'orang', 'bego', 'menghina', 'nabi', 'muhammad', 'saw']","['jelmaan', 'babi']",<FreqDist with 17 samples and 19 outcomes>
2993,2993,1,penemuan jenazah mobil wilayah purwokerto,mbl parkir alfa mart purwokerto orgnya dalam mobil meningg kehabisan oksigenplatnya mbl bekasi kota yang kenalmohon bantuan nya teman yang tau keluarga nya tolong cepat hubungi,"['mbl', 'parkir', 'alfa', 'mart', 'purwokerto', 'orgnya', 'dalam', 'mobil', 'meningg', 'kehabisan', 'oksigenplatnya', 'mbl', 'bekasi', 'kota', 'yang', 'kenalmohon', 'bantuan', 'nya', 'teman', 'yang', 'tau', 'keluarga', 'nya', 'tolong', 'cepat', 'hubungi']","['penemuan', 'jenazah', 'mobil', 'wilayah', 'purwokerto']",<FreqDist with 23 samples and 26 outcomes>
2994,2994,1,dina ppapp dki batalkan rapat undang muslimah hti,hti dilarang dki mengundang bentuk pembangkangan pemerintah daerah kepada pemerintah pusat sengaja dina pemberdayaan perempuan pemprov dki benarbenar berdaya pengaruh hti organisasi dilarang negara islam dilarang indonesia benerben gaben nih,"['hti', 'dilarang', 'dki', 'mengundang', 'bentuk', 'pembangkangan', 'pemerintah', 'daerah', 'kepada', 'pemerintah', 'pusat', 'sengaja', 'dina', 'pemberdayaan', 'perempuan', 'pemprov', 'dki', 'benarbenar', 'berdaya', 'pengaruh', 'hti', 'organisasi', 'dilarang', 'negara', 'islam', 'dilarang', 'indonesia', 'benerben', 'gaben', 'nih']","['dina', 'ppapp', 'dki', 'batalkan', 'rapat', 'undang', 'muslimah', 'hti']",<FreqDist with 25 samples and 30 outcomes>
2995,2995,1,tenang ani baswedan medso,kamera abrek abrek masuk televisi tenang ani baswedan medso,"['kamera', 'abrek', 'abrek', 'masuk', 'televisi', 'tenang', 'ani', 'baswedan', 'medso']","['tenang', 'ani', 'baswedan', 'medso']",<FreqDist with 8 samples and 9 outcomes>
2996,2996,1,ustaz abdul somad mengacungkan jari mendukung jokowi,beredar vedio klarifikasi sikap netral ua ua sudah hak politiknya warga negara terima kasih ua,"['beredar', 'vedio', 'klarifikasi', 'sikap', 'netral', 'ua', 'ua', 'sudah', 'hak', 'politiknya', 'warga', 'negara', 'terima', 'kasih', 'ua']","['ustaz', 'abdul', 'somad', 'mengacungkan', 'jari', 'mendukung', 'jokowi']",<FreqDist with 13 samples and 15 outcomes>
2997,2997,1,kedzoliman rezim terkuak,scenario allah sempurnakedzoliman rezim terkuak,"['scenario', 'allah', 'sempurnakedzoliman', 'rezim', 'terkuak']","['kedzoliman', 'rezim', 'terkuak']",<FreqDist with 5 samples and 5 outcomes>
2998,2998,1,bmkg prediksi tsunami terjang bengkulu,info bmkg besok diprediksi bengkulu tsunami tanggal desemb habi pantai air pantai surut hampur tengahtengah laut,"['info', 'bmkg', 'besok', 'diprediksi', 'bengkulu', 'tsunami', 'tanggal', 'desemb', 'habi', 'pantai', 'air', 'pantai', 'surut', 'hampur', 'tengahtengah', 'laut']","['bmkg', 'prediksi', 'tsunami', 'terjang', 'bengkulu']",<FreqDist with 15 samples and 16 outcomes>
2999,2999,1,penampakan pesawat jatuh gempar menggoncang beserta tsunami sore,penampakan pesawat jatuh gempar menggoncang beserta tsunami sore luangkan detik komen amin semoga selamat dan tabah yang trkena musibah aamiinbagikank grup,"['penampakan', 'pesawat', 'jatuh', 'gempar', 'menggoncang', 'beserta', 'tsunami', 'sore', 'luangkan', 'detik', 'komen', 'amin', 'semoga', 'selamat', 'dan', 'tabah', 'yang', 'trkena', 'musibah', 'aamiinbagikank', 'grup']","['penampakan', 'pesawat', 'jatuh', 'gempar', 'menggoncang', 'beserta', 'tsunami', 'sore']",<FreqDist with 21 samples and 21 outcomes>
3000,3000,1,es krim parasetamol ice cream with paracetamol,ini holland they invent ice cream with paracetamol moga,"['ini', 'holland', 'they', 'invent', 'ice', 'cream', 'with', 'paracetamol', 'moga']","['es', 'krim', 'parasetamol', 'ice', 'cream', 'with', 'paracetamol']",<FreqDist with 9 samples and 9 outcomes>
3001,3001,0,fpi menyebarkan spanduk habib rizieq dukung khilafah,front pembela islam fpi membantah memasang menyebarkan spanduk bergambarkan imam fpi habib rizieq shihab mendukung khilafah titik kota depok jawa barat dilansir sindonewscom okezonecom rmolco novel bamukmin anggota fpi membantah pemasangan spanduk iya bertanggung pemasangan spanduk orang bertanggung memfitnah novel,"['front', 'pembela', 'islam', 'fpi', 'membantah', 'memasang', 'menyebarkan', 'spanduk', 'bergambarkan', 'imam', 'fpi', 'habib', 'rizieq', 'shihab', 'mendukung', 'khilafah', 'titik', 'kota', 'depok', 'jawa', 'barat', 'dilansir', 'sindonewscom', 'okezonecom', 'rmolco', 'novel', 'bamukmin', 'anggota', 'fpi', 'membantah', 'pemasangan', 'spanduk', 'iya', 'bertanggung', 'pemasangan', 'spanduk', 'orang', 'bertanggung', 'memfitnah', 'novel']","['fpi', 'menyebarkan', 'spanduk', 'habib', 'rizieq', 'dukung', 'khilafah']",<FreqDist with 32 samples and 40 outcomes>
3002,3002,0,berita pelabuhan mewah diresmikan jokowi pelabuhan hantu diturunkan,berita menohok liputan pelabuhan mewah diresmikan jokowi pelabuhan hantu langsung delet,"['berita', 'menohok', 'liputan', 'pelabuhan', 'mewah', 'diresmikan', 'jokowi', 'pelabuhan', 'hantu', 'langsung', 'delet']","['berita', 'pelabuhan', 'mewah', 'diresmikan', 'jokowi', 'pelabuhan', 'hantu', 'diturunkan']",<FreqDist with 10 samples and 11 outcomes>
3003,3003,1,jadwal perpindahan maskapai penerbangan termin termin internasion bandara soekarnohatta,bentuknya gambar dalamnya diinformasikan jadwal perpindahan maskapai internasion termin termin bandara soekarnohatta informasi malaysia airlin pindah tanggal april turkish airlin oman air pindah april thai srilankan airlin pindah mei,"['bentuknya', 'gambar', 'dalamnya', 'diinformasikan', 'jadwal', 'perpindahan', 'maskapai', 'internasion', 'termin', 'termin', 'bandara', 'soekarnohatta', 'informasi', 'malaysia', 'airlin', 'pindah', 'tanggal', 'april', 'turkish', 'airlin', 'oman', 'air', 'pindah', 'april', 'thai', 'srilankan', 'airlin', 'pindah', 'mei']","['jadwal', 'perpindahan', 'maskapai', 'penerbangan', 'termin', 'termin', 'internasion', 'bandara', 'soekarnohatta']",<FreqDist with 23 samples and 29 outcomes>
3004,3004,0,islam anti hoax,islam anti hoax,"['islam', 'anti', 'hoax']","['islam', 'anti', 'hoax']",<FreqDist with 3 samples and 3 outcomes>
3005,3005,0,ideologinya pancasila memangnya zina lgbt sesuai pancasila,seriu negeri mayorita muslim mempidanakan kumpul kebo alia zina lgbt melanggar hukum ideologinya pancasila memangnya zina lgbt sesuai pancasila pancasila lahir islam islam kera mengharamkan zina lgbt pancasila melegalkan zina lgbt pancasila bertentangan islam anti zina anti lgbt dikatai anti pancasila anti nkri seriu tanya komen yang,"['seriu', 'negeri', 'mayorita', 'muslim', 'mempidanakan', 'kumpul', 'kebo', 'alia', 'zina', 'lgbt', 'melanggar', 'hukum', 'ideologinya', 'pancasila', 'memangnya', 'zina', 'lgbt', 'sesuai', 'pancasila', 'pancasila', 'lahir', 'islam', 'islam', 'kera', 'mengharamkan', 'zina', 'lgbt', 'pancasila', 'melegalkan', 'zina', 'lgbt', 'pancasila', 'bertentangan', 'islam', 'anti', 'zina', 'anti', 'lgbt', 'dikatai', 'anti', 'pancasila', 'anti', 'nkri', 'seriu', 'tanya', 'komen', 'yang']","['ideologinya', 'pancasila', 'memangnya', 'zina', 'lgbt', 'sesuai', 'pancasila']",<FreqDist with 28 samples and 47 outcomes>
3006,3006,1,fahri hamzah anak mah lukman ketua cc pki,fahri hamzah anak mah lukman ketua cc pki,"['fahri', 'hamzah', 'anak', 'mah', 'lukman', 'ketua', 'cc', 'pki']","['fahri', 'hamzah', 'anak', 'mah', 'lukman', 'ketua', 'cc', 'pki']",<FreqDist with 8 samples and 8 outcomes>
3007,3007,0,hoax politik keteladanan elit,hoax politik minimnya keteladanan elit,"['hoax', 'politik', 'minimnya', 'keteladanan', 'elit']","['hoax', 'politik', 'keteladanan', 'elit']",<FreqDist with 5 samples and 5 outcomes>
3008,3008,1,isi sebar aid jogja,situasi mendesak harap kesediaan bantu menangkap cepat menemui orangorang berkunjung pintu beras fakulta kedokteran bantu mengukur gula darah grati informasikan orangorang isi,"['situasi', 'mendesak', 'harap', 'kesediaan', 'bantu', 'menangkap', 'cepat', 'menemui', 'orangorang', 'berkunjung', 'pintu', 'beras', 'fakulta', 'kedokteran', 'bantu', 'mengukur', 'gula', 'darah', 'grati', 'informasikan', 'orangorang', 'isi']","['isi', 'sebar', 'aid', 'jogja']",<FreqDist with 20 samples and 22 outcomes>
3009,3009,1,menang gereja jakarta istiql,menang gereja jakarta istiql ahok jakarta gereja selua vatikan roma beba masuk agama,"['menang', 'gereja', 'jakarta', 'istiql', 'ahok', 'jakarta', 'gereja', 'selua', 'vatikan', 'roma', 'beba', 'masuk', 'agama']","['menang', 'gereja', 'jakarta', 'istiql']",<FreqDist with 11 samples and 13 outcomes>
3010,3010,1,sweep etni china singkawang kalimantan barat,dipicu ahok swepe etni cina kalimantan,"['dipicu', 'ahok', 'swepe', 'etni', 'cina', 'kalimantan']","['sweep', 'etni', 'china', 'singkawang', 'kalimantan', 'barat']",<FreqDist with 6 samples and 6 outcomes>
3011,3011,1,banser nu mendukung aksi,terima kasih saudara tua banser nu menurunkan banser menjaga umat islam aksi jakarta semoga banser jaya allahu akbar,"['terima', 'kasih', 'saudara', 'tua', 'banser', 'nu', 'menurunkan', 'banser', 'menjaga', 'umat', 'islam', 'aksi', 'jakarta', 'semoga', 'banser', 'jaya', 'allahu', 'akbar']","['banser', 'nu', 'mendukung', 'aksi']",<FreqDist with 16 samples and 18 outcomes>
3012,3012,1,gula jawa mengandung formalin,info dibawah ya hati dengan gula merah gula jawa teman itb biolog yang melanjutkan penelitian tentang gula merah gula jawa gula aren gula merah,"['info', 'dibawah', 'ya', 'hati', 'dengan', 'gula', 'merah', 'gula', 'jawa', 'teman', 'itb', 'biolog', 'yang', 'melanjutkan', 'penelitian', 'tentang', 'gula', 'merah', 'gula', 'jawa', 'gula', 'aren', 'gula', 'merah']","['gula', 'jawa', 'mengandung', 'formalin']",<FreqDist with 16 samples and 24 outcomes>
3013,3013,1,tokoh isi syaikh al arifi masjid istiql,rencana tablig akbar januari masjid istiql mengundang tokoh isi ditolak nkri dijadikan sarang pengungsi isi lari suriah irak,"['rencana', 'tablig', 'akbar', 'januari', 'masjid', 'istiql', 'mengundang', 'tokoh', 'isi', 'ditolak', 'nkri', 'dijadikan', 'sarang', 'pengungsi', 'isi', 'lari', 'suriah', 'irak']","['tokoh', 'isi', 'syaikh', 'al', 'arifi', 'masjid', 'istiql']",<FreqDist with 17 samples and 18 outcomes>
